Custom field (Hospital Name),Custom field (1a. How many Fee For Service (FFS) Medicare patients were discharged from acute hospital care at home in the last calendar month?),Custom field (1b. How many non-managed care Medicaid patients were discharged from acute hospital care at home in the last calendar month?),Custom field (1c. How many discharges involved patients who had both FFS Medicare and FFS Medicaid (Dual-Eligibles)?),"Custom field (2a. Excluding patients on hospice and those not on hospice but whose death was expected by the care team and the patient and their family/caregivers, how many FFS Medicare patients died during their hospitalization in the past calendar month?)","Custom field (2b. Excluding patients on hospice and those not on hospice but whose death was expected by the care team and the patient and their family/caregivers, how many non-managed care Medicaid patients died during their hospitalization in the past calendar mo...)",Custom field (2c. How many patients died during their hospitalization in the past calendar month who had both FFS Medicare and FFS Medicaid (Dual-Eligibles)?),Custom field (3a. How many FFS Medicare patients required transfer back and admission to the traditional inpatient hospital setting from their acute hospital care at home in the past calendar month?),Custom field (3b. How many non-managed care Medicaid patients required transfer back and admission to the traditional inpatient hospital setting from their acute hospital care at home in the past calendar month?),Custom field (3c. How many patient discharges involved a transfer to the traditional inpatient hospital setting from their acute hospital care at home in the past calendar month and had coverage by both FFS Medicare and FFS Medicaid (Dual-Eligibles)?),Custom field (4. Has your acute hospital care at home safety committee reviewed the metrics being reported in this monthly report?),Custom field (CCN),Issue Type,Custom field (Measure From Date),Custom field (Measure To Date),Priority,Reporter,Summary,Created,Status
Johnson City Medical Center,0,0,0,0,0,0,0,0,0,No,440063,AHCAH Measure - Tier 1,Jul/01/2023 12:00 AM,Jul/31/2023 12:00 AM,Medium,ess_service_account,Johnson City Medical Center: Measures for 2023-07-01 - 2023-07-31,Aug/01/2023 11:28 AM,Measures Submitted
Bristol Regional Medical Center,0,0,0,0,0,0,0,0,0,No,440012,AHCAH Measure - Tier 1,Jul/01/2023 12:00 AM,Jul/31/2023 12:00 AM,Medium,ess_service_account,Bristol Regional Medical Center: Measures for 2023-07-01 - 2023-07-31,Aug/01/2023 11:27 AM,Measures Submitted
Indian Path Community Hospital,0,0,0,0,0,0,0,0,0,No,440176,AHCAH Measure - Tier 1,Jul/01/2023 12:00 AM,Jul/31/2023 12:00 AM,Medium,ess_service_account,Indian Path Community Hospital: Measures for 2023-07-01 - 2023-07-31,Aug/01/2023 11:27 AM,Measures Submitted
Mercy Hospital St. Louis,0,0,0,0,0,0,0,0,0,No,260020,AHCAH Measure - Tier 1,Jul/01/2023 12:00 AM,Jul/31/2023 12:00 AM,Medium,ess_service_account,Mercy Hospital St. Louis: Measures for 2023-07-01 - 2023-07-31,Aug/01/2023 10:25 AM,Measures Submitted
WakeMed Health and Hospitals- Raleigh,0,0,0,0,0,0,0,0,0,No,340069,AHCAH Measure - Tier 1,Jul/01/2023 12:00 AM,Jul/31/2023 12:00 AM,Medium,ess_service_account,WakeMed Health and Hospitals- Raleigh: Measures for 2023-07-01 - 2023-07-31,Aug/01/2023 9:58 AM,Measures Submitted
WakeMed Health and Hospitals- Cary,0,0,0,0,0,0,0,0,0,No,340173,AHCAH Measure - Tier 1,Jul/01/2023 12:00 AM,Jul/31/2023 12:00 AM,Medium,ess_service_account,WakeMed Health and Hospitals- Cary: Measures for 2023-07-01 - 2023-07-31,Aug/01/2023 9:56 AM,Measures Submitted
Mount Sinai Morningside Hospital,0,0,0,0,0,0,0,0,0,No,330046,AHCAH Measure - Tier 1,Jun/01/2023 12:00 AM,Jun/30/2023 12:00 AM,Medium,ess_service_account,Mount Sinai Morningside Hospital: Measures for 2023-06-01 - 2023-06-30,Jul/10/2023 12:54 PM,Measures Submitted
Mount Sinai Beth Israel Hospital,0,0,0,0,0,0,0,0,0,No,330169,AHCAH Measure - Tier 1,Jun/01/2023 12:00 AM,Jun/30/2023 12:00 AM,Medium,ess_service_account,Mount Sinai Beth Israel Hospital: Measures for 2023-06-01 - 2023-06-30,Jul/10/2023 12:54 PM,Measures Submitted
Mount Sinai Hospital,1,1,0,0,0,0,0,0,0,Yes,330024,AHCAH Measure - Tier 1,Jun/01/2023 12:00 AM,Jun/30/2023 12:00 AM,Medium,ess_service_account,Mount Sinai Hospital: Measures for 2023-06-01 - 2023-06-30,Jul/10/2023 12:54 PM,Measures Submitted
Holston Valley Medical Center,0,0,0,0,0,0,0,0,0,No,440017,AHCAH Measure - Tier 1,Jun/01/2023 12:00 AM,Jun/30/2023 12:00 AM,Medium,ess_service_account,Holston Valley Medical Center: Measures for 2023-06-01 - 2023-06-30,Jul/07/2023 1:38 PM,Measures Submitted
Johnson City Medical Center,0,0,0,0,0,0,0,0,0,No,440063,AHCAH Measure - Tier 1,Jun/01/2023 12:00 AM,Jun/30/2023 12:00 AM,Medium,ess_service_account,Johnson City Medical Center: Measures for 2023-06-01 - 2023-06-30,Jul/07/2023 1:37 PM,Measures Submitted
Bristol Regional Medical Center,0,0,0,0,0,0,0,0,0,No,440012,AHCAH Measure - Tier 1,Jun/01/2023 12:00 AM,Jun/30/2023 12:00 AM,Medium,ess_service_account,Bristol Regional Medical Center: Measures for 2023-06-01 - 2023-06-30,Jul/07/2023 1:35 PM,Measures Submitted
Indian Path Community Hospital,0,0,0,0,0,0,0,0,0,No,440176,AHCAH Measure - Tier 1,Jun/01/2023 12:00 AM,Jun/30/2023 12:00 AM,Medium,ess_service_account,Indian Path Community Hospital: Measures for 2023-06-01 - 2023-06-30,Jul/07/2023 1:35 PM,Measures Submitted
Mayo Clinic Florida,64,3,2,0,0,0,6,0,0,Yes,100151,AHCAH Measure - Tier 1,Jun/01/2023 12:00 AM,Jun/30/2023 12:00 AM,Medium,ess_service_account,Mayo Clinic Florida: Measures for 2023-06-01 - 2023-06-30,Jul/07/2023 12:39 PM,Measures Submitted
Presbyterian Hospital/Presbyterian Healthcare Services,7,0,0,0,0,0,0,0,0,Yes,320021,AHCAH Measure - Tier 1,Jun/01/2023 12:00 AM,Jun/30/2023 12:00 AM,Medium,ess_service_account,Presbyterian Hospital/Presbyterian Healthcare Services: Measures for 2023-06-01 - 2023-06-30,Jul/07/2023 11:29 AM,Measures Submitted
Mayo Clinic Health System-Northwest Wisconsin Region,15,3,2,0,0,0,1,0,0,Yes,520070,AHCAH Measure - Tier 1,Jun/01/2023 12:00 AM,Jun/30/2023 12:00 AM,Medium,ess_service_account,Mayo Clinic Health System-Northwest Wisconsin Region: Measures for 2023-06-01 - 2023-06-30,Jul/07/2023 10:38 AM,Measures Submitted
South Shore Health,0,0,0,0,0,0,0,0,0,No,220100,AHCAH Measure - Tier 1,Jun/01/2023 12:00 AM,Jun/30/2023 12:00 AM,Medium,ess_service_account,South Shore Health: Measures for 2023-06-01 - 2023-06-30,Jul/07/2023 8:15 AM,Measures Submitted
UC San Diego Health,0,0,0,0,0,0,0,0,0,No,50025,AHCAH Measure - Tier 1,Jun/01/2023 12:00 AM,Jun/30/2023 12:00 AM,Medium,ess_service_account,UC San Diego Health: Measures for 2023-06-01 - 2023-06-30,Jul/06/2023 4:56 PM,Measures Submitted
Brigham and Women's Hospital,40,11,7,0,0,0,4,0,0,Yes,220110,AHCAH Measure - Tier 1,Jun/01/2023 12:00 AM,Jun/30/2023 12:00 AM,Medium,ess_service_account,Brigham and Women's Hospital: Measures for 2023-06-01 - 2023-06-30,Jul/06/2023 4:22 PM,Measures Submitted
Methodist Hospital,2,0,0,0,0,0,1,0,0,Yes,240053,AHCAH Measure - Tier 1,Jun/01/2023 12:00 AM,Jun/30/2023 12:00 AM,High,ess_service_account,Methodist Hospital: Measures for 2023-06-01 - 2023-06-30,Jul/06/2023 3:02 PM,Measures Submitted
Regions Hospital,0,0,0,0,0,0,0,0,0,No,240106,AHCAH Measure - Tier 1,Jun/01/2023 12:00 AM,Jun/30/2023 12:00 AM,Medium,ess_service_account,Regions Hospital: Measures for 2023-06-01 - 2023-06-30,Jul/06/2023 2:54 PM,Measures Submitted
Abbott Northwestern Hospital,0,0,0,0,0,0,0,0,0,No,240057,AHCAH Measure - Tier 1,Jun/01/2023 12:00 AM,Jun/30/2023 12:00 AM,Medium,ess_service_account,Abbott Northwestern Hospital: Measures for 2023-06-01 - 2023-06-30,Jul/06/2023 1:35 PM,Measures Submitted
St. Francis Regional Medical Center,0,0,0,0,0,0,0,0,0,No,240104,AHCAH Measure - Tier 1,Jun/01/2023 12:00 AM,Jun/30/2023 12:00 AM,Medium,ess_service_account,St. Francis Regional Medical Center: Measures for 2023-06-01 - 2023-06-30,Jul/06/2023 1:35 PM,Measures Submitted
Mercy Hospital,0,0,0,0,0,0,0,0,0,No,240115,AHCAH Measure - Tier 1,Jun/01/2023 12:00 AM,Jun/30/2023 12:00 AM,Medium,ess_service_account,Mercy Hospital: Measures for 2023-06-01 - 2023-06-30,Jul/06/2023 1:34 PM,Measures Submitted
United Hospital,0,0,0,0,0,0,0,0,0,No,240038,AHCAH Measure - Tier 1,Jun/01/2023 12:00 AM,Jun/30/2023 12:00 AM,Medium,ess_service_account,United Hospital: Measures for 2023-06-01 - 2023-06-30,Jul/06/2023 1:34 PM,Measures Submitted
Geisinger Lewistown Hospital,0,0,0,0,0,0,0,0,0,No,390048,AHCAH Measure - Tier 1,Jun/01/2023 12:00 AM,Jun/30/2023 12:00 AM,Medium,ess_service_account,Geisinger Lewistown Hospital: Measures for 2023-06-01 - 2023-06-30,Jul/06/2023 1:33 PM,Measures Submitted
Geisinger-Community Medical Center,0,0,0,0,0,0,0,0,0,No,390001,AHCAH Measure - Tier 1,Jun/01/2023 12:00 AM,Jun/30/2023 12:00 AM,Medium,ess_service_account,Geisinger-Community Medical Center: Measures for 2023-06-01 - 2023-06-30,Jul/06/2023 1:32 PM,Measures Submitted
Geisinger Wyoming Valley Medical Center,0,0,0,0,0,0,0,0,0,No,390270,AHCAH Measure - Tier 1,Jun/01/2023 12:00 AM,Jun/30/2023 12:00 AM,Medium,ess_service_account,Geisinger Wyoming Valley Medical Center: Measures for 2023-06-01 - 2023-06-30,Jul/06/2023 1:32 PM,Measures Submitted
Geisinger Medical Center,0,0,0,0,0,0,0,0,0,No,390006,AHCAH Measure - Tier 1,Jun/01/2023 12:00 AM,Jun/30/2023 12:00 AM,Medium,ess_service_account,Geisinger Medical Center: Measures for 2023-06-01 - 2023-06-30,Jul/06/2023 1:31 PM,Measures Submitted
Mercy Hospital St. Louis,0,0,0,0,0,0,0,0,0,No,260020,AHCAH Measure - Tier 1,Jun/01/2023 12:00 AM,Jun/30/2023 12:00 AM,Medium,ess_service_account,Mercy Hospital St. Louis: Measures for 2023-06-01 - 2023-06-30,Jul/06/2023 1:30 PM,Measures Submitted
Vanderbilt University Medical Center,9,2,2,0,0,0,1,0,0,Yes,440039,AHCAH Measure - Tier 1,Jun/01/2023 12:00 AM,Jun/30/2023 12:00 AM,Medium,ess_service_account,Vanderbilt University Medical Center: Measures for 2023-06-01 - 2023-06-30,Jul/06/2023 1:22 PM,Measures Submitted
Atrium Health Lincoln,4,4,1,0,0,0,0,0,0,Yes,340145,AHCAH Measure - Tier 1,Jun/01/2023 12:00 AM,Jun/30/2023 12:00 AM,Medium,ess_service_account,Atrium Health Lincoln: Measures for 2023-06-01 - 2023-06-30,Jul/06/2023 11:28 AM,Measures Submitted
Atrium Health Cleveland,2,4,0,0,0,0,1,0,0,Yes,340021,AHCAH Measure - Tier 1,Jun/01/2023 12:00 AM,Jun/30/2023 12:00 AM,High,ess_service_account,Atrium Health Cleveland: Measures for 2023-06-01 - 2023-06-30,Jul/06/2023 11:25 AM,Measures Submitted
Atrium Health University,4,2,0,0,0,0,0,0,0,Yes,340166,AHCAH Measure - Tier 1,Jun/01/2023 12:00 AM,Jun/30/2023 12:00 AM,Medium,ess_service_account,Atrium Health University: Measures for 2023-06-01 - 2023-06-30,Jul/06/2023 11:22 AM,Measures Submitted
Atrium Health Union,4,1,0,0,0,0,0,0,0,Yes,340130,AHCAH Measure - Tier 1,Jun/01/2023 12:00 AM,Jun/30/2023 12:00 AM,Medium,ess_service_account,Atrium Health Union: Measures for 2023-06-01 - 2023-06-30,Jul/06/2023 11:19 AM,Measures Submitted
Atrium Health Pineville,6,0,0,0,0,0,0,0,0,Yes,340098,AHCAH Measure - Tier 1,Jun/01/2023 12:00 AM,Jun/30/2023 12:00 AM,Medium,ess_service_account,Atrium Health Pineville: Measures for 2023-06-01 - 2023-06-30,Jul/06/2023 11:17 AM,Measures Submitted
Carolinas Medical Center,18,15,2,0,0,0,0,2,0,Yes,340113,AHCAH Measure - Tier 1,Jun/01/2023 12:00 AM,Jun/30/2023 12:00 AM,Medium,ess_service_account,Carolinas Medical Center: Measures for 2023-06-01 - 2023-06-30,Jul/06/2023 11:15 AM,Measures Submitted
Atrium Health Cabarrus,11,8,1,0,0,0,0,0,0,Yes,340001,AHCAH Measure - Tier 1,Jun/01/2023 12:00 AM,Jun/30/2023 12:00 AM,Medium,ess_service_account,Atrium Health Cabarrus: Measures for 2023-06-01 - 2023-06-30,Jul/06/2023 11:12 AM,Measures Submitted
UnityPoint Health System,5,2,0,0,0,0,0,0,0,Yes,160082,AHCAH Measure - Tier 1,Jun/01/2023 12:00 AM,Jun/30/2023 12:00 AM,Medium,ess_service_account,UnityPoint Health System: Measures for 2023-06-01 - 2023-06-30,Jul/05/2023 4:07 PM,Measures Submitted
Marshfield Medical Center-Marshfield,1,0,0,0,0,0,0,0,0,Yes,520037,AHCAH Measure - Tier 1,Jun/01/2023 12:00 AM,Jun/30/2023 12:00 AM,Medium,ess_service_account,Marshfield Medical Center-Marshfield: Measures for 2023-06-01 - 2023-06-30,Jul/05/2023 3:30 PM,Measures Submitted
Greenville Memorial Hospital,6,0,0,0,0,0,1,0,0,Yes,420078,AHCAH Measure - Tier 1,Jun/01/2023 12:00 AM,Jun/30/2023 12:00 AM,High,ess_service_account,Greenville Memorial Hospital: Measures for 2023-06-01 - 2023-06-30,Jul/05/2023 11:22 AM,Measures Submitted
Kaiser Foundation Hospital - Westside,0,0,0,0,0,0,0,0,0,Yes,380103,AHCAH Measure - Tier 1,Jun/01/2023 12:00 AM,Jun/30/2023 12:00 AM,Medium,ess_service_account,Kaiser Foundation Hospital - Westside: Measures for 2023-06-01 - 2023-06-30,Jul/03/2023 2:16 PM,Measures Submitted
Kaiser Sunnyside Medical Center,0,0,0,0,0,0,0,0,0,Yes,380091,AHCAH Measure - Tier 1,Jun/01/2023 12:00 AM,Jun/30/2023 12:00 AM,Medium,ess_service_account,Kaiser Sunnyside Medical Center: Measures for 2023-06-01 - 2023-06-30,Jul/03/2023 2:15 PM,Measures Submitted
OSF Saint Francis Medical Center,20,6,3,0,0,0,1,0,0,Yes,140067,AHCAH Measure - Tier 1,Jun/01/2023 12:00 AM,Jun/30/2023 12:00 AM,Medium,ess_service_account,OSF Saint Francis Medical Center: Measures for 2023-06-01 - 2023-06-30,Jul/03/2023 10:52 AM,Measures Submitted
United Health Services Hospitals,0,0,0,0,0,0,0,0,0,No,330394,AHCAH Measure - Tier 1,Jun/01/2023 12:00 AM,Jun/30/2023 12:00 AM,Medium,ess_service_account,United Health Services Hospitals: Measures for 2023-06-01 - 2023-06-30,Jul/03/2023 10:51 AM,Measures Submitted
Indiana University Health Methodist Hospital,0,0,0,0,0,0,0,0,0,No,150056,AHCAH Measure - Tier 1,Jun/01/2023 12:00 AM,Jun/30/2023 12:00 AM,Medium,ess_service_account,Indiana University Health Methodist Hospital: Measures for 2023-06-01 - 2023-06-30,Jul/03/2023 10:42 AM,Measures Submitted
Massachusetts General Hospital,29,10,8,0,0,0,5,2,2,Yes,220071,AHCAH Measure - Tier 1,Jun/01/2023 12:00 AM,Jun/30/2023 12:00 AM,High,ess_service_account,Massachusetts General Hospital: Measures for 2023-06-01 - 2023-06-30,Jul/01/2023 10:42 AM,Measures Submitted
United Health Services Hospitals,0,0,0,0,0,0,0,0,0,No,330394,AHCAH Measure - Tier 1,May/01/2023 12:00 AM,May/31/2023 12:00 AM,Medium,ess_service_account,United Health Services Hospitals: Measures for 2023-05-01 - 2023-05-31,Jun/20/2023 3:14 PM,Measures Submitted
Adventist Health Ukiah Valley,0,0,0,0,0,0,0,0,0,No,50301,AHCAH Measure - Tier 1,May/01/2023 12:00 AM,May/31/2023 12:00 AM,Medium,ess_service_account,Adventist Health Ukiah Valley: Measures for 2023-05-01 - 2023-05-31,Jun/15/2023 4:04 PM,Measures Submitted
Adventist Health Ukiah Valley,0,0,0,0,0,0,0,0,0,No,50301,AHCAH Measure - Tier 1,Apr/01/2023 12:00 AM,Apr/30/2023 12:00 AM,Medium,ess_service_account,Adventist Health Ukiah Valley: Measures for 2023-04-01 - 2023-04-30,Jun/15/2023 4:03 PM,Measures Submitted
Hanford Community Hospital dba Adventist Health Hanford,0,0,0,0,0,0,0,0,0,No,50121,AHCAH Measure - Tier 1,May/01/2023 12:00 AM,May/31/2023 12:00 AM,Medium,ess_service_account,Hanford Community Hospital dba Adventist Health Hanford: Measures for 2023-05-01 - 2023-05-31,Jun/15/2023 4:02 PM,Measures Submitted
Hanford Community Hospital dba Adventist Health Hanford,0,0,0,0,0,0,0,0,0,No,50121,AHCAH Measure - Tier 1,Apr/01/2023 12:00 AM,Apr/30/2023 12:00 AM,Medium,ess_service_account,Hanford Community Hospital dba Adventist Health Hanford: Measures for 2023-04-01 - 2023-04-30,Jun/15/2023 4:01 PM,Measures Submitted
San Joaquin Community Hospital dba Adventist Health Bakersfield,0,0,0,0,0,0,0,0,0,No,50455,AHCAH Measure - Tier 1,May/01/2023 12:00 AM,May/31/2023 12:00 AM,Medium,ess_service_account,San Joaquin Community Hospital dba Adventist Health Bakersfield: Measures for 2023-05-01 - 2023-05-31,Jun/15/2023 4:00 PM,Measures Submitted
San Joaquin Community Hospital dba Adventist Health Bakersfield,0,0,0,0,0,0,0,0,0,No,50455,AHCAH Measure - Tier 1,Apr/01/2023 12:00 AM,Apr/30/2023 12:00 AM,Medium,ess_service_account,San Joaquin Community Hospital dba Adventist Health Bakersfield: Measures for 2023-04-01 - 2023-04-30,Jun/15/2023 3:59 PM,Measures Submitted
UC San Diego Health,0,0,0,0,0,0,0,0,0,No,50025,AHCAH Measure - Tier 1,May/01/2023 12:00 AM,May/31/2023 12:00 AM,Medium,ess_service_account,UC San Diego Health: Measures for 2023-05-01 - 2023-05-31,Jun/08/2023 6:43 PM,Measures Submitted
Sentara Norfolk General Hospital,0,0,0,0,0,0,0,0,0,No,490007,AHCAH Measure - Tier 1,May/01/2023 12:00 AM,May/31/2023 12:00 AM,Medium,ess_service_account,Sentara Norfolk General Hospital: Measures for 2023-05-01 - 2023-05-31,Jun/08/2023 4:19 PM,Measures Submitted
Presbyterian Hospital/Presbyterian Healthcare Services,4,0,0,0,0,0,0,0,0,Yes,320021,AHCAH Measure - Tier 1,May/01/2023 12:00 AM,May/31/2023 12:00 AM,Medium,ess_service_account,Presbyterian Hospital/Presbyterian Healthcare Services: Measures for 2023-05-01 - 2023-05-31,Jun/07/2023 6:34 PM,Measures Submitted
Mayo Clinic Florida,73,3,3,1,0,0,9,0,0,Yes,100151,AHCAH Measure - Tier 1,May/01/2023 12:00 AM,May/31/2023 12:00 AM,Critical,ess_service_account,Mayo Clinic Florida: Measures for 2023-05-01 - 2023-05-31,Jun/07/2023 5:56 PM,Measures Submitted
Methodist Hospital,0,0,0,0,0,0,0,0,0,No,240053,AHCAH Measure - Tier 1,May/01/2023 12:00 AM,May/31/2023 12:00 AM,Medium,ess_service_account,Methodist Hospital: Measures for 2023-05-01 - 2023-05-31,Jun/07/2023 3:39 PM,Measures Submitted
UnityPoint Health System,5,0,0,0,0,0,0,0,0,Yes,160082,AHCAH Measure - Tier 1,May/01/2023 12:00 AM,May/31/2023 12:00 AM,Medium,ess_service_account,UnityPoint Health System: Measures for 2023-05-01 - 2023-05-31,Jun/07/2023 2:48 PM,Measures Submitted
Mayo Clinic Health System-Northwest Wisconsin Region,22,4,3,0,0,0,1,0,0,Yes,520070,AHCAH Measure - Tier 1,May/01/2023 12:00 AM,May/31/2023 12:00 AM,Medium,ess_service_account,Mayo Clinic Health System-Northwest Wisconsin Region: Measures for 2023-05-01 - 2023-05-31,Jun/07/2023 2:37 PM,Measures Submitted
Holston Valley Medical Center,0,0,0,0,0,0,0,0,0,No,440017,AHCAH Measure - Tier 1,May/01/2023 12:00 AM,May/31/2023 12:00 AM,Medium,ess_service_account,Holston Valley Medical Center: Measures for 2023-05-01 - 2023-05-31,Jun/07/2023 10:43 AM,Measures Submitted
Johnson City Medical Center,0,0,0,0,0,0,0,0,0,No,440063,AHCAH Measure - Tier 1,May/01/2023 12:00 AM,May/31/2023 12:00 AM,Medium,ess_service_account,Johnson City Medical Center: Measures for 2023-05-01 - 2023-05-31,Jun/07/2023 10:43 AM,Measures Submitted
Bristol Regional Medical Center,0,0,0,0,0,0,0,0,0,No,440012,AHCAH Measure - Tier 1,May/01/2023 12:00 AM,May/31/2023 12:00 AM,Medium,ess_service_account,Bristol Regional Medical Center: Measures for 2023-05-01 - 2023-05-31,Jun/07/2023 10:42 AM,Measures Submitted
Indian Path Community Hospital,0,0,0,0,0,0,0,0,0,No,440176,AHCAH Measure - Tier 1,May/01/2023 12:00 AM,May/31/2023 12:00 AM,Medium,ess_service_account,Indian Path Community Hospital: Measures for 2023-05-01 - 2023-05-31,Jun/07/2023 10:42 AM,Measures Submitted
Brigham and Women's Hospital,33,10,7,0,0,0,1,0,0,Yes,220110,AHCAH Measure - Tier 1,May/01/2023 12:00 AM,May/31/2023 12:00 AM,Medium,ess_service_account,Brigham and Women's Hospital: Measures for 2023-05-01 - 2023-05-31,Jun/06/2023 4:28 PM,Measures Submitted
Regions Hospital,3,0,0,0,0,0,1,0,0,Yes,240106,AHCAH Measure - Tier 1,May/01/2023 12:00 AM,May/31/2023 12:00 AM,High,ess_service_account,Regions Hospital: Measures for 2023-05-01 - 2023-05-31,Jun/06/2023 1:48 PM,Measures Submitted
Atrium Health Lincoln,3,0,0,0,0,0,0,0,0,Yes,340145,AHCAH Measure - Tier 1,May/01/2023 12:00 AM,May/31/2023 12:00 AM,Medium,ess_service_account,Atrium Health Lincoln: Measures for 2023-05-01 - 2023-05-31,Jun/06/2023 11:23 AM,Measures Submitted
Atrium Health Cleveland,6,7,2,0,0,0,0,0,0,Yes,340021,AHCAH Measure - Tier 1,May/01/2023 12:00 AM,May/31/2023 12:00 AM,Medium,ess_service_account,Atrium Health Cleveland: Measures for 2023-05-01 - 2023-05-31,Jun/06/2023 11:21 AM,Measures Submitted
Atrium Health University,1,3,0,0,0,0,0,0,0,Yes,340166,AHCAH Measure - Tier 1,May/01/2023 12:00 AM,May/31/2023 12:00 AM,Medium,ess_service_account,Atrium Health University: Measures for 2023-05-01 - 2023-05-31,Jun/06/2023 11:19 AM,Measures Submitted
Atrium Health Union,7,2,0,0,0,0,0,0,0,Yes,340130,AHCAH Measure - Tier 1,May/01/2023 12:00 AM,May/31/2023 12:00 AM,Medium,ess_service_account,Atrium Health Union: Measures for 2023-05-01 - 2023-05-31,Jun/06/2023 11:17 AM,Measures Submitted
Atrium Health Pineville,4,1,0,0,0,0,0,0,0,Yes,340098,AHCAH Measure - Tier 1,May/01/2023 12:00 AM,May/31/2023 12:00 AM,Medium,ess_service_account,Atrium Health Pineville: Measures for 2023-05-01 - 2023-05-31,Jun/06/2023 11:15 AM,Measures Submitted
Carolinas Medical Center,10,7,1,0,0,0,0,1,0,Yes,340113,AHCAH Measure - Tier 1,May/01/2023 12:00 AM,May/31/2023 12:00 AM,Medium,ess_service_account,Carolinas Medical Center: Measures for 2023-05-01 - 2023-05-31,Jun/06/2023 11:12 AM,Measures Submitted
Atrium Health Cabarrus,11,9,2,0,0,0,0,1,0,Yes,340001,AHCAH Measure - Tier 1,May/01/2023 12:00 AM,May/31/2023 12:00 AM,Medium,ess_service_account,Atrium Health Cabarrus: Measures for 2023-05-01 - 2023-05-31,Jun/06/2023 11:10 AM,Measures Submitted
Massachusetts General Hospital,19,7,4,0,0,0,1,0,0,Yes,220071,AHCAH Measure - Tier 1,May/01/2023 12:00 AM,May/31/2023 12:00 AM,Medium,ess_service_account,Massachusetts General Hospital: Measures for 2023-05-01 - 2023-05-31,Jun/05/2023 1:17 PM,Measures Submitted
Vanderbilt University Medical Center,11,1,1,0,0,0,1,0,0,Yes,440039,AHCAH Measure - Tier 1,May/01/2023 12:00 AM,May/31/2023 12:00 AM,Medium,ess_service_account,Vanderbilt University Medical Center: Measures for 2023-05-01 - 2023-05-31,Jun/05/2023 12:11 PM,Measures Submitted
Mercy Hospital St. Louis,0,0,0,0,0,0,0,0,0,No,260020,AHCAH Measure - Tier 1,May/01/2023 12:00 AM,May/31/2023 12:00 AM,Medium,ess_service_account,Mercy Hospital St. Louis: Measures for 2023-05-01 - 2023-05-31,Jun/05/2023 10:42 AM,Measures Submitted
Geisinger Lewistown Hospital,0,0,0,0,0,0,0,0,0,No,390048,AHCAH Measure - Tier 1,May/01/2023 12:00 AM,May/31/2023 12:00 AM,Medium,ess_service_account,Geisinger Lewistown Hospital: Measures for 2023-05-01 - 2023-05-31,Jun/05/2023 10:31 AM,Measures Submitted
Geisinger-Community Medical Center,0,0,0,0,0,0,0,0,0,No,390001,AHCAH Measure - Tier 1,May/01/2023 12:00 AM,May/31/2023 12:00 AM,Medium,ess_service_account,Geisinger-Community Medical Center: Measures for 2023-05-01 - 2023-05-31,Jun/05/2023 10:30 AM,Measures Submitted
Geisinger Wyoming Valley Medical Center,0,0,0,0,0,0,0,0,0,No,390270,AHCAH Measure - Tier 1,May/01/2023 12:00 AM,May/31/2023 12:00 AM,Medium,ess_service_account,Geisinger Wyoming Valley Medical Center: Measures for 2023-05-01 - 2023-05-31,Jun/05/2023 10:30 AM,Measures Submitted
Geisinger Medical Center,0,0,0,0,0,0,0,0,0,No,390006,AHCAH Measure - Tier 1,May/01/2023 12:00 AM,May/31/2023 12:00 AM,Medium,ess_service_account,Geisinger Medical Center: Measures for 2023-05-01 - 2023-05-31,Jun/05/2023 10:29 AM,Measures Submitted
South Shore Health,0,0,0,0,0,0,0,0,0,No,220100,AHCAH Measure - Tier 1,May/01/2023 12:00 AM,May/31/2023 12:00 AM,Medium,ess_service_account,South Shore Health: Measures for 2023-05-01 - 2023-05-31,Jun/05/2023 10:29 AM,Measures Submitted
Abbott Northwestern Hospital,0,0,0,0,0,0,0,0,0,No,240057,AHCAH Measure - Tier 1,May/01/2023 12:00 AM,May/31/2023 12:00 AM,Medium,ess_service_account,Abbott Northwestern Hospital: Measures for 2023-05-01 - 2023-05-31,Jun/05/2023 10:27 AM,Measures Submitted
St. Francis Regional Medical Center,0,0,0,0,0,0,0,0,0,No,240104,AHCAH Measure - Tier 1,May/01/2023 12:00 AM,May/31/2023 12:00 AM,Medium,ess_service_account,St. Francis Regional Medical Center: Measures for 2023-05-01 - 2023-05-31,Jun/05/2023 10:26 AM,Measures Submitted
Mercy Hospital,0,0,0,0,0,0,0,0,0,No,240115,AHCAH Measure - Tier 1,May/01/2023 12:00 AM,May/31/2023 12:00 AM,Medium,ess_service_account,Mercy Hospital: Measures for 2023-05-01 - 2023-05-31,Jun/05/2023 10:25 AM,Measures Submitted
